,Line,Client,Destination,Placement Time,Completion Time,Removal Time,Loading dtn,Removal dtn,JNPT loading,GTI loading,NSICT loading,BMCT loading,Total loading,JNPT unloading,GTI unloading,NSICT unloading,BMCT unloading,Total unloading
0,1,CONR,DRTA,2021-12-31 06:20:00,2022-01-01 08:15:00,2022-01-01 09:10:00,1.9166666666666667,0.9166666666666666,4,32,14,40,90,8,13,23,36,80
1,8,CONR,SNF,2021-12-31 08:05:00,2022-01-01 08:30:00,2022-01-01 09:05:00,0.4166666666666667,0.5833333333333334,7,0,53,30,90,0,7,68,6,81
2,B4,CONR,MB,2021-12-31 23:30:00,2022-01-01 07:30:00,2022-01-01 08:05:00,8.0,0.5833333333333334,0,0,0,90,90,0,36,43,11,90
3,G1,CONR,BNGD,2022-01-01 02:40:00,2022-01-01 10:45:00,2022-01-01 12:30:00,8.083333333333334,1.75,6,60,24,0,90,3,28,43,16,90
4,B1,CONR,DLB,2022-01-01 05:50:00,2022-01-01 19:15:00,2022-01-01 20:20:00,13.416666666666666,1.0833333333333333,2,10,0,78,90,16,18,25,31,90
5,G3,CONR,TKD,2022-01-01 07:30:00,2022-01-01 14:30:00,2022-01-01 15:30:00,7.0,1.0,0,90,0,0,90,0,77,6,7,90
6,B4,CONR,BRC,2022-01-01 11:15:00,2022-01-01 23:45:00,2022-01-02 05:15:00,12.5,5.5,0,0,0,90,90,0,11,23,56,90
7,G1,CONR,DRTA,2022-01-01 13:50:00,2022-01-01 23:50:00,2022-01-02 03:20:00,10.0,3.5,0,20,36,4,60,0,0,12,78,90
8,G3,CONR,DER,2022-01-01 16:30:00,2022-01-01 23:55:00,2022-01-02 02:15:00,7.416666666666667,2.3333333333333335,7,53,20,0,80,0,34,30,16,80
9,5,NCP 01,MRWN,2021-12-31 18:20:00,2022-01-01 02:20:00,2022-01-01 03:05:00,8.0,0.75,0,0,77,13,90,2,9,51,28,90
10,G2,PMLP02,MKPP,2021-12-31 19:30:00,2022-01-01 22:45:00,2022-01-02 23:50:00,3.25,1.0833333333333333,0,18,3,35,56,3,21,42,14,80
11,B2,PMLP01,MATP,2021-12-31 20:40:00,2022-01-01 10:15:00,2022-01-01 12:40:00,13.583333333333334,2.4166666666666665,0,24,0,66,90,0,23,36,31,90
12,G3,ADIL 01,NTSJ,2021-12-31 22:35:00,2022-01-01 05:30:00,2022-01-01 06:35:00,6.916666666666667,1.0833333333333333,0,90,0,0,90,0,48,25,17,90
13,B3,ADIL03,NTSJ,2022-01-01 02:20:00,2022-01-01 12:35:00,2022-01-01 13:45:00,10.25,1.1666666666666667,0,0,0,90,90,0,24,66,0,90
14,5,ADIL02,NTSJ,2022-01-01 04:30:00,2022-01-01 10:30:00,2022-01-01 11:55:00,6.0,1.4166666666666667,0,0,90,0,90,20,47,20,3,90
15,6,DLI01,DLIB,2022-01-01 04:55:00,2022-01-01 15:10:00,2022-01-01 16:45:00,10.25,1.5833333333333333,46,0,40,4,90,0,52,16,22,90
16,4,NCP02,NTSJ,2022-01-01 07:00:00,2022-01-01 13:50:00,2022-01-01 14:25:00,6.833333333333333,0.5833333333333334,0,0,90,0,90,0,0,90,0,90
17,5,DLI02,DLIB,2022-01-01 12:50:00,2022-01-01 20:15:00,2022-01-01 21:05:00,7.416666666666667,0.8333333333333334,0,0,90,0,90,2,19,69,0,90
18,1,NCP03,NTSJ,2022-01-01 10:20:00,2022-01-01 21:30:00,2022-01-01 22:10:00,11.166666666666666,0.6666666666666666,10,28,52,0,90,0,39,40,11,90
19,B2,CONCR,TKD,2022-01-01 13:40:00,2022-01-02 06:00:00,2022-01-02 08:25:00,16.333333333333332,2.4166666666666665,2,0,0,88,90,17,31,27,15,90
20,4,CONCR,DLB,2022-01-01 15:25:00,2022-01-02 15:25:00,2022-01-02 16:00:00,0.0,0.5833333333333334,0,25,51,14,90,0,27,49,14,90
21,6,CONCR,CGPT,2022-01-01 18:50:00,2022-01-02 16:50:00,2022-01-02 17:50:00,22.0,1.0,3,16,71,0,90,5,15,63,7,90
22,5,CONCR,PCPK,2022-01-01 22:05:00,2022-01-02 11:15:00,2022-01-02 12:10:00,13.166666666666666,0.9166666666666666,0,14,76,0,90,7,18,65,0,90
23,B1,CONCR,MDDP,2022-01-01 23:45:00,2022-01-02 18:50:00,2022-01-02 19:35:00,19.083333333333332,0.75,0,4,8,78,90,3,14,28,45,90
24,G2,717,DLB,2022-01-02 00:45:00,2022-01-02 12:00:00,2022-01-02 13:00:00,11.25,1.0,0,90,0,0,90,0,90,0,0,90
25,G3,CONCR,TKD,2022-01-02 03:15:00,2022-01-02 10:20:00,2022-01-02 11:25:00,7.083333333333333,1.0833333333333333,14,66,0,0,80,2,0,66,12,80
26,1,CONCR,AKV,2022-01-02 06:35:00,2022-01-02 23:40:00,2022-01-03 00:55:00,17.083333333333332,1.25,4,22,25,39,90,2,15,51,17,85
27,G1,CONCR,SNF,2022-01-02 07:10:00,2022-01-02 14:40:00,2022-01-02 16:35:00,7.5,1.9166666666666667,11,62,17,0,90,14,14,25,37,90
28,B2,CONCR,DER,2022-01-02 09:30:00,2022-01-02 19:10:00,2022-01-02 20:15:00,9.666666666666666,1.0833333333333333,0,0,0,90,90,13,8,31,32,84
29,G2,CONCR,TKD,2022-01-02 13:55:00,2022-01-02 21:30:00,2022-01-02 22:20:00,7.583333333333333,0.8333333333333334,26,64,0,0,90,4,23,33,30,90
30,G1,CONCR,BNGD,2022-01-02 17:35:00,2022-01-02 23:35:00,2022-01-03 01:00:00,6.0,1.4166666666666667,13,72,5,0,90,8,20,60,2,90
31,8,GRPL 01,GRFV,2022-01-01 10:00:00,2022-01-02 13:20:00,2022-01-02 14:25:00,3.3333333333333335,1.0833333333333333,20,42,0,28,90,8,28,20,24,80
32,B3,ADIL 04,NTSJ,2022-01-01 18:15:00,2022-01-02 08:00:00,2022-01-02 10:00:00,13.75,2.0,0,0,0,90,90,6,34,42,8,90
33,B4,ADIL 05,NTSJ,2022-01-02 06:30:00,2022-01-02 14:20:00,2022-01-02 15:20:00,7.833333333333333,1.0,0,0,0,90,90,0,0,0,90,90
34,5,ADIL 06,NTSJ,2022-01-02 14:00:00,2022-01-02 18:45:00,2022-01-02 19:50:00,4.75,1.0833333333333333,0,0,90,0,90,2,2,65,21,90
35,B3,CONR,DRTA,2022-01-02 10:50:00,2022-01-03 05:00:00,2022-01-03 05:35:00,18.166666666666668,0.5833333333333334,12,11,32,35,90,27,61,2,0,90
36,6,CONR,MDDP,2022-01-02 18:45:00,2022-01-03 04:05:00,2022-01-03 04:40:00,9.333333333333334,0.5833333333333334,90,0,0,0,90,90,0,0,0,90
37,B1,CONR,CGPT,2022-01-02 22:00:00,2022-01-03 07:40:00,2022-01-03 08:30:00,9.666666666666666,0.8333333333333334,0,0,0,90,90,10,30,30,20,90
38,B2,CONR,DER,2022-01-02 22:35:00,2022-01-03 13:30:00,2022-01-03 14:15:00,14.916666666666666,0.75,5,0,0,85,90,2,0,52,36,90
39,B4,CONR,TKD,2022-01-03 03:05:00,2022-01-03 13:50:00,2022-01-03 14:55:00,10.75,1.0833333333333333,0,0,0,90,90,9,37,39,5,90
40,8,CONR,BRC,2022-01-03 08:30:00,2022-01-03 21:00:00,2022-01-03 21:50:00,12.5,0.8333333333333334,11,24,26,19,80,1,36,9,34,80
41,G2,CONR,TKD,2022-01-03 12:25:00,2022-01-03 18:00:00,2022-01-03 18:35:00,5.583333333333333,0.5833333333333334,0,90,0,0,90,11,23,40,16,90
42,B3,CONR,TKD,2022-01-03 06:40:00,2022-01-03 23:30:00,2022-01-04 00:55:00,16.833333333333332,1.4166666666666667,4,21,0,65,90,4,9,71,6,90
43,G1,COBNR,PCPK,2022-01-03 16:40:00,2022-01-03 21:35:00,2022-01-04 01:05:00,4.916666666666667,3.5,10,68,0,2,80,3,26,47,4,80
44,G3,CONR,MKPP,2022-01-03 15:10:00,2022-01-03 23:40:00,2022-01-04 02:35:00,8.5,2.9166666666666665,0,37,23,20,80,2,55,17,6,80
45,5,CONR,MDDP,2022-01-03 19:30:00,2022-01-03 23:45:00,2022-01-04 01:25:00,4.25,1.6666666666666667,0,0,88,3,91,0,61,23,6,90
46,G2,CONR,TKD,2022-01-03 20:30:00,2022-01-03 23:50:00,2022-01-04 03:35:00,3.3333333333333335,3.75,0,0,90,0,90,18,18,46,8,90
47,B1,CONR,BNGD,2022-01-03 12:45:00,2022-01-03 23:55:00,,11.166666666666666,,0,0,5,85,90,10,30,40,10,90
48,G3,PMLP03,MATP,2022-01-02 12:55:00,2022-01-03 09:00:00,2022-01-03 09:55:00,20.083333333333332,0.9166666666666666,4,41,0,35,80,0,31,20,29,80
49,B4,NCP 04,NTSJ,2022-01-02 16:25:00,2022-01-03 01:20:00,2022-01-03 01:55:00,8.916666666666666,0.5833333333333334,0,0,0,80,80,0,0,0,80,80
50,8,ADIL07,NTSJ,2022-01-02 16:30:00,2022-01-03 06:00:00,2022-01-03 07:45:00,13.5,1.75,9,21,60,0,90,0,10,76,4,90
51,4,DLI 03,MLSW,2022-01-02 17:10:00,2022-01-03 02:00:00,2022-01-03 02:45:00,8.833333333333334,0.75,0,5,75,10,90,2,0,88,0,90
52,5,CRRS01,CMCT,2022-01-02 21:00:00,2022-01-03 04:50:00,2022-01-03 05:55:00,7.833333333333333,1.0833333333333333,0,0,80,0,80,0,14,66,0,80
53,G2,DLI04,DLIB,2022-01-02 23:15:00,2022-01-03 06:15:00,2022-01-03 07:10:00,7.0,0.9166666666666666,0,90,0,0,90,0,16,68,6,90
54,G1,ADIL08,NTSJ,2022-01-03 02:20:00,2022-01-03 09:35:00,2022-01-03 10:40:00,7.25,1.0833333333333333,0,0,0,90,90,0,21,58,11,90
55,4,NCP05,NTSJ,2022-01-03 03:45:00,2022-01-03 10:30:00,2022-01-03 11:30:00,6.75,1.0,0,0,90,0,90,2,16,72,0,90
56,1,KRIL01,MRWN,2022-01-03 04:25:00,2022-01-03 18:20:00,2022-01-04 19:35:00,13.916666666666666,1.25,0,0,90,0,90,0,18,61,11,90
57,6,ADIL09,HTSD,2022-01-03 05:45:00,2022-01-03 16:10:00,2022-01-03 17:00:00,10.416666666666666,0.8333333333333334,0,0,0,0,0,45,20,25,0,90
58,5,NCP06,NTSJ,2022-01-03 09:00:00,2022-01-03 16:00:00,2022-01-03 16:45:00,7.0,0.75,0,0,90,0,90,0,24,0,66,90
59,4,ADIL10,NTSJ,2022-01-03 15:30:00,2022-01-03 22:00:00,2022-01-03 22:40:00,6.5,0.6666666666666666,0,0,90,0,90,0,0,0,90,90
60,B4,CONR,DER,2022-01-03 22:30:00,2022-01-04 07:25:00,2022-01-04 08:05:00,8.916666666666666,0.6666666666666666,0,0,0,90,90,0,21,2,67,90
61,6,CONR,CGPT,2022-01-03 23:45:00,2022-01-04 10:30:00,2022-01-04 11:15:00,10.75,0.75,3,46,40,1,90,22,28,30,10,90
62,G1,CONR,MDDP,2022-01-04 02:15:00,2022-01-04 08:00:00,2022-01-04 08:40:00,5.75,0.6666666666666666,20,66,0,4,90,34,14,38,4,90
63,1,CONR,DRTA,2022-01-04 02:35:00,2022-01-04 14:15:00,2022-01-04 14:40:00,11.666666666666666,0.4166666666666667,11,16,24,19,70,2,19,47,22,90
64,G3,CONR,AKV,2022-01-04 05:05:00,2022-01-04 14:45:00,2022-12-04 15:45:00,9.666666666666666,1.0,4,35,14,21,74,6,9,9,22,46
65,5,CONR,PCPK,2022-01-04 05:30:00,2022-01-04 18:10:00,2022-01-04 19:15:00,12.666666666666666,1.0833333333333333,0,14,27,49,90,0,26,28,8,62
66,8,CONR,TKD,2022-01-04 08:30:00,2022-01-04 18:20:00,2022-01-04 19:15:00,9.833333333333334,0.9166666666666666,12,27,43,8,90,2,30,38,20,90
67,4,CONR,DER,2022-01-04 11:05:00,2022-01-04 20:20:00,2022-01-04 21:10:00,9.25,0.8333333333333334,3,13,74,0,90,2,25,30,33,90
68,G2,CONR,CGPT,2022-01-04 16:45:00,2022-01-04 23:00:00,2022-01-04 23:50:00,6.25,0.8333333333333334,0,78,12,0,90,13,49,26,2,90
69,G2,ADIL,NTSJ,2022-01-04 07:00:00,2022-01-04 13:50:00,2022-01-04 14:40:00,6.833333333333333,0.8333333333333334,0,90,0,0,90,0,90,0,0,90
70,G1,NCP,NTSJ,2022-01-04 13:25:00,2022-01-04 20:00:00,2022-01-04 20:50:00,6.583333333333333,0.8333333333333334,0,65,25,0,90,30,60,0,0,90
71,B3,CRRS,CMCT,2022-01-04 16:25:00,2022-01-04 23:50:00,2022-01-05 01:45:00,7.416666666666667,1.9166666666666667,0,0,0,90,90,0,24,32,34,90
72,B2,CONR,DLB,2022-01-04 15:15:00,2022-01-05 14:15:00,2022-01-05 14:30:00,23.0,0.25,36,0,11,43,90,4,19,58,9,90
73,6,CONR,TKD,2022-01-04 22:25:00,2022-01-05 11:30:00,2022-01-05 12:05:00,13.083333333333334,0.5833333333333334,0,24,42,24,90,58,0,0,32,90
74,B4,CONR,MLAR,2022-01-04 23:50:00,2022-01-05 22:00:00,2022-01-05 23:25:00,22.166666666666668,1.4166666666666667,0,12,7,71,90,34,20,0,36,90
75,4,CONR,ICDW,2022-01-05 07:40:00,2022-01-05 11:25:00,2022-01-05 12:15:00,3.75,0.8333333333333334,0,0,90,0,90,1,12,53,24,90
76,5,CONR,DRTA,2022-01-05 10:00:00,2022-01-05 17:00:00,2022-01-05 17:55:00,7.0,0.9166666666666666,0,0,0,0,0,0,0,90,0,90
77,G2,CONR,DRTA,2022-01-05 10:30:00,2022-01-05 23:45:00,2022-01-06 00:50:00,13.25,1.0833333333333333,0,0,0,0,0,8,16,37,29,90
78,G3,CONR,MDDP,2022-01-05 14:10:00,2022-01-05 19:50:00,2022-01-05 20:45:00,5.666666666666667,0.9166666666666666,0,55,22,13,90,21,20,32,17,90
79,G1,CONR,PCPK,2022-01-05 03:10:00,2022-01-05 23:50:00,2022-01-06 04:00:00,20.666666666666668,4.166666666666667,4,27,11,10,52,26,4,36,24,90
80,1,CONR,BNGD,2022-01-05 11:10:00,2022-01-05 23:40:00,2022-01-06 03:00:00,12.5,3.3333333333333335,15,4,71,0,90,1,19,61,9,90
81,5,CONR,ICDW,2022-01-05 18:50:00,2022-01-05 22:50:00,2022-01-05 23:50:00,4.0,1.0,0,0,80,0,80,0,24,48,28,80
82,B1,DLI,DLIB,2022-01-04 12:25:00,2022-01-05 05:30:00,2022-01-05 06:15:00,17.083333333333332,0.75,2,0,21,57,80,0,1,76,3,80
83,C1,NCP,NTSJ,2022-01-04 19:40:00,2022-01-05 08:00:00,2022-01-05 10:05:00,12.333333333333334,2.0833333333333335,4,0,86,0,90,1,46,40,3,90
84,5,ADIL,NTSJ,2022-01-04 20:10:00,2022-01-05 01:45:00,2022-01-05 02:50:00,5.583333333333333,1.0833333333333333,0,0,90,0,90,9,2,70,9,90
85,4,ADIL,NTSJ,2022-01-04 21:55:00,2022-01-05 05:00:00,2022-01-05 05:45:00,7.083333333333333,0.75,0,0,90,0,90,0,14,44,32,90
86,G3,PMLP,MATP,2022-01-05 00:40:00,2022-01-05 05:40:00,2022-01-05 06:05:00,5.0,0.4166666666666667,0,0,0,0,0,0,47,18,25,90
